STN Code,Sampling Date,Month,Sampling Time,Stn Name,Type Water Body,Name Of Water Body,River Basin,District,State Name,Mon Agency,Frequency,Major Polluting Sources,Use Based Class, Use of Water in Down Stream, Visibility Effluent Discharge,Weather,Approx Depth,Human Activities,Floating Matter,Color,Odor,Flow,Temperature,Dissolved O2,pH,Conductivity,BOD,Nitrate N,Fecal Coliform,Total Coliform,Fecal Streptococci,Turbidity,Phenophelene Alkanity,Total Alkalinity,Chlorides,COD,Total Kjeldahl N,Amonia N,Hardness CaCo3,Calcium CaCo3,Magnesium CaCo3,Sulphate,Sodium,Total Dissolved Solids,Total Fixed Solids,Total Suspended Solids,Phosphate,Boron,Potassium,Flouride,Remark,latitude,longitude
1190,45785,Aug,0.496527778,"Bhima river at D/s of Bundgarden, Village . Yerwada,Taluka. Haweli, District. Pune.",River,Bhima ,Bhima ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,3.9,7.4,478,13,0.83,17,1600,2,3.86,90,20(BDL),41.24,40,3.36,1.5,134,66,68,6.29,28.38,378,306,10(BDL),0.2(BDL),1.7,4.72,0.9,NA,18°32.647 ’,73°52.946’
1191,45755,Aug,0.555555556,"Bhima river after confluence with Mula.Mutha at Pargaon near Vasant Bandara,Village. Pargaon,Taluka. Daund, District. Pune.",River,Bhima ,Bhima ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,28,3.2,7.3,370,13.5,0.92,1.8(BDL),350,1.8(BDL),1.81,5(BDL),68,32.49,48.2,2.8,0.83,104,54,50,5(BDL),25.27,292,237,11,0.2(BDL),0.5(BDL),4.78,0.2(BDL),NA,18°34.074 ’,74°22.681’
1192,45755,Aug,0.611111111,"Bhima river at Daund near Mahadev temple,Village. Daund, Taluka. Daund, District. Pune.",River,Bhima ,Bhima ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,28,3.8,7.8,368,12,1.24,1.8(BDL),1600,1.8(BDL),1.19,5(BDL),64,32.29,60.2,2.24,0.59,102,50,52,8.16,27.97,288,232,15,0.2(BDL),0.7,1.98,0.2(BDL),NA,18°28.234 ’,74°35.235’
2680,45785,Aug,0.461805556,"Mutha river at Khadakvasla Dam, Village. Khadakvasla,Taluka. Haweli, District. Pune.",River,Mutha ,Mutha ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,25,6.7,8.2,112,3.4,0.55,11,350,1.8(BDL),1.27,5(BDL),20(BDL),7.35,12,1.5(BDL),0.4,34,16,18,7.25,5(BDL),92,75,11,0.2(BDL),0.5(BDL),1(BDL),0.2(BDL),NA,18° 26.433’,73° 46.411’
2197,45785,Aug,0.53125,"Indrayani river at D/s of Alandigaon, Village. Alandigaon, Taluka. Haweli, District. Pune.",River,Indrayani ,Indrayani ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,23,5.4,7.8,324,6.2,0.73,40,1600,6.8,1.29,5(BDL),62,25.59,20,2.8,0.67,94,48,46,13.12,14.11,258,208,11,0.58,1.2,1.9,0.5,NA,18°39.428’,73°54.600’
2655,45816,Aug,0.631944444,"Bhima river at Koregaon near Koregaon bridge, Village. Koregaon,Taluka. Shirur, District. Pune.",River,Bhima ,Bhima ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,24,5.8,8.1,363,4.2,0.72,70,540,6.8,1(BDL),5(BDL),76,32.64,16,1.68,0.62,104,50,54,34.84,29.83,287,230,11,0.24,0.9,1(BDL),0.2(BDL),NA,18° 38.712’,74° 03.303’
2665,45816,Aug,0.586805556,"Ghod river at Shirur, Village. Shirur,Taluka. Shirur,District. Pune.",River,Ghod ,Ghod ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,25,6.3,8.2,371,3.6,0.43,70,350,40,1(BDL),5(BDL),82,27.39,12,2.24,0.63,106,56,50,34.52,30.04,291,236,11,0.26,0.5(BDL),1(BDL),0.2(BDL),NA,18° 49.961’,74° 23.504’
2668,45785,Aug,0.545138889,"Indrayani river at D/s of Moshi village. Village. Moshi,  Taluka. Haweli, District. Pune.",River,Indrayani ,Indrayani ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Light Brown,None,0,23,4.3,7.6,337,7.4,0.46,170,1600,14,1.33,5(BDL),64,24.04,28,2.24,0.57,88,46,42,6.32,15.73,266,216,12,0.25,1.5,2.36,0.6,NA,18° 41.019’,73° 52.713’
2669,45785,Aug,0.625,"Indrayani river at U/s of Moshigaon,Village. Moshi, Taluka. Haweli, District. Pune.",River,Indrayani ,Indrayani ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,23,5,7.7,321,6.4,0.63,33,1600,1.8(BDL),1.8,5(BDL),62,21.84,24,1.68,0.47,92,44,48,6.53,14.89,255,205,13,0.28,1.6,1.83,0.2(BDL),NA,18° 41.331’,73° 50.793’
2677,45816,Aug,0.65625,"Mula.Mutha river at D/s of Theur, Village. Theur, Taluka. Haweli, District. Pune.",River,Mula Mutha ,Mula Mutha ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,24,5.2,8.1,365,7.8,1.32,70,1600,27,1(BDL),5(BDL),74,25.54,36,1.68,0.8,104,48,56,24.92,32.21,289,234,12,0.32,0.7,1(BDL),0.2(BDL),NA,18° 31.846’,74° 20.895’
2715,45816,Aug,0.604166667,"Vel river at Shikrapur, Village. Shikrapur,Taluka. Shirur, District. Pune.",River,Velu ,Velu ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,0,24,5.5,8.2,359,5,0.85,110,920,9.3,1(BDL),5(BDL),74,27.54,16,1.5(BDL),0.45,102,48,54,36.52,29.5,284,232,12,0.39,0.5(BDL),1(BDL),0.2(BDL),NA,18° 41.614’,74° 08.120’
2196,45816,Aug,0.475694444,"Pawana river at Sangavigaon,  Village. Sangavigaon, Taluka. Haweli, District. Pune.",River,Pawana ,Pawana ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27,3.4,7.6,758,13.5,0.81,220,1600,23,14.1,5(BDL),126,95.02,40,7.28,3.14,214,108,106,6.79,49.06,501,406,36,0.35,1.7,7.85,0.4,NA,18°34.540’,73°49.535’
2690,45755,Aug,0.6875,"Pawana river at Kasarwadi, Village. Kasarwadi, Taluka. Haweli, District. Pune.",River,Pawana ,Pawana ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27,3.2,7.5,693,15,1.04,220,1600,11,9.95,5(BDL),140,75.08,52.2,3.92,1.43,196,94,102,5.8,42.82,535,425,29,0.51,0.5(BDL),6.7,0.7,NA,18° 36.137’,73° 49.306’
2691,45816,Aug,0.530555556,"Pawana river at  Dapodi bridge, at Pawana. Mulla Sangam,  Village. Dapodi, Taluka. Haweli, District. Pune.",River,Pawana ,Pawana ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,26,3.9,7.5,837,9.5,0.55,280,1600,41,8.27,5(BDL),142,71.23,36,5.04,2.2,234,116,118,7.06,48.67,662,536,28,0.2(BDL),1.9,5.48,0.6,NA,18° 34.429’,73° 49.909’
2692,45755,Aug,0.645833333,"Pawana river at Ravet Weir, Village. Ravet, Taluka. Haweli, District. Pune.",River,Pawana ,Pawana ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27,4.7,7.9,374,7.2,0.61,1.8(BDL),350,1.8(BDL),1.23,5(BDL),70,18.54,24.1,1.5(BDL),0.4,106,56,50,5(BDL),13.53,291,235,15,0.2(BDL),0.5(BDL),1.05,0.2(BDL),NA,18° 38.374’,73° 44.867’
2693,45755,Aug,0.666666667,"Pawana river at Chinchwadgaon, Village. Chinchwadgaon,Taluka. Haweli,District. Pune.",River,Pawana ,Pawana ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27,4.1,7.9,420,8.6,0.79,70,1600,11,1.28,5(BDL),76,27.54,32.1,1.68,0.4,118,60,58,5(BDL),17.51,322,264,10(BDL),0.37,0.5(BDL),2.08,0.6,NA,18° 37.553’,73° 46.681’
2694,45755,Aug,0.697916667,"Pawana river at Pimprigaon, Village. Pimprigaon, Taluka. Haweli, District. Pune.",River,Pawana ,Pawana ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,No Information,,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27,3.5,7.6,638,12.5,1.12,110,1600,1.8(BDL),6.63,5(BDL),132,51.28,44.2,3.36,1.35,180,92,88,7.32,38.89,495,400,22,0.91,0.5(BDL),7.35,0.5,NA,18° 37.301’,73° 47.903’
36,45785,Aug,0.520833333,"Krishna river at Krishna bridge, ( Krishna river at NH.4 bridge ) Village. Karad, Taluka. Karad, District. Satara.",River,Krishna ,Krishna ,Satara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Raining,Less than 50cm,"Bathing,Washing",Yes,Light Brown,Odor Free,0,26,6.2,8,261,2.8,0.53,70,540,1.8(BDL),2.1,5(BDL),40,14,8,2.24,0.59,74,30,44,5.37,13.2,209,171,12,0.2(BDL),1.3,1(BDL),0.2(BDL),NA,17°17.690’,74°11.321’
2186,45846,Aug,0.354166667,"Venna river at Varye, Village . Varye,Taluka. Satara, District. Satara.",River,Venna ,Venna ,Satara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Raining,Less than 50cm,"Bathing,Washing",Yes,Clear,Odor Free,0,24,6,8.2,208,5.2,0.81,4.5,170,1.8(BDL),4.06,5(BDL),46,6.75,16,1.5(BDL),0.46,60,30,30,7.25,6.24,165,137,16,0.2(BDL),0.5(BDL),1(BDL),0.2(BDL),NA,17°43.793’,73°58.928’
2187,45755,Aug,0.465277778,"Krishna river at Kshetra Mahuli, Village. Kshetra.Mahuli,Taluka. Mahuli, District. Satara.",River,Krishna ,Krishna ,Satara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Raining,Less than 50cm,"Bathing,Washing",Yes,Light Brown,Odor Free,0,26,5.5,7.9,280,4.2,0.87,21,540,1.8(BDL),3.09,5(BDL),66,12.8,16,1.68,0.51,82,44,38,5(BDL),11.52,223,182,12,0.22,0.5(BDL),1(BDL),0.4,NA,17°41.735’,74°03.286’
2188,45755,Aug,0.479166667,"Krishna river at Krishna. Venna Sangam Mahuli , Village. Mahuli,Taluka. Mahuli, District. Satara.",River,Krishna ,Krishna ,Satara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Raining,Less than 50cm,"Bathing,Washing",Yes,Light Brown,Odor Free,0,27,5.9,7.9,292,4,0.73,32,540,1.8(BDL),2.42,5(BDL),68,12.9,16,2.24,0.76,86,44,42,5.51,11.72,229,186,11,0.2(BDL),0.5(BDL),1(BDL),0.3,NA,17°41.445’,74°03.088’
2189,45785,Aug,0.479166667,"Koyna River at Karad, Village. Karad,Taluka. Karad, District. Satara.",River,Koyna ,Koyna ,Satara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Raining,Less than 50cm,"Bathing,Washing",Yes,Light Green,Odor Free,0,26,5.9,8.1,172,4.6,0.72,12,540,1.8(BDL),2.89,5(BDL),38,7.9,16,2.8,0.67,50,26,24,5.37,9.15,136,112,11,0.2(BDL),1.2,1(BDL),0.2(BDL),NA,17°16.668’,74°10.528’
2190,45846,Aug,0.4375,"Krishna river at Wai, Village. Wai,Taluka. Wai,District. Satara.",River,Krishna ,Krishna ,Satara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Raining,Less than 50cm,"Bathing,Washing",Yes,Clear,Odor Free,0,25,5.2,8.1,528,7.2,1.06,1.8(BDL),350,1.8(BDL),1(BDL),5(BDL),108,15.95,24,2.24,0.55,150,72,78,7.25,17.01,418,337,10(BDL),0.2(BDL),0.5(BDL),1(BDL),0.2(BDL),NA,17°34.304’,74°02.862’
2681,45755,Aug,0.166666667,"Nira river at Sangavi, Village. Sangavi, Taluka. Phaltan, District. Satara.",River,Nira ,Nira ,Satara,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),,Industrial,Raining,Less than 50cm,"Bathing,Washing",Yes,Clear,Odor Free,0,27,6.1,8.3,149,4,0.44,1.8(BDL),33,1.8(BDL),2.2,12,32,7.35,12,3.36,0.96,44,20,24,5(BDL),6,118,96,11,0.2(BDL),0.9,1(BDL),0.3,NA,18° 03.424’,74° 29.320’
